('2018/11/02', '10:32:58', 1.9, 'MLr_3', 25L, 6.832, 1.63, -73.144, 1.63, 150.0, 2.2, 0.45, 'manual', 'SGC', 'Dhernandez@proc3', 'SGC2018vmbj', '2019/08/28 15:13:57', 'Los Santos - Santander, Colombia')
('2018/11/02', '11:00:30', 1.7, 'MLr_3', 11L, 6.834, 2.69, -73.035, 2.69, 147.0, 1.8, 0.18, 'manual', 'SGC', 'Dhernandez@proc3', 'SGC2018vmcf', '2019/08/28 15:13:58', 'Los Santos - Santander, Colombia')
('2018/11/02', '11:00:51', 1.8, 'MLr_2', 50L, 8.346, 0.92, -74.186, 0.92, 57.0, 3.3, 0.52, 'manual', 'SGC', 'kvallejo@proc1', 'SGC2018vmcg', '2019/08/30 18:25:45', 'Rioviejo - Bol\xc3\xadvar, Colombia')
('2018/11/02', '11:32:15', 1.4, 'MLr_3', 12L, 6.643, 3.89, -73.272, 3.89, 92.0, 6.1, 0.66, 'manual', 'SGC', 'Dhernandez@proc3', 'SGC2018vmdh', '2019/08/28 15:14:01', 'Gal\xc3\xa1n - Santander, Colombia')
('2018/11/02', '11:40:04', 2.0, 'MLr_3', 28L, 6.798, 1.34, -73.14, 1.34, 140.0, 2.0, 0.45, 'manual', 'SGC', 'Dhernandez@proc3', 'SGC2018vmdn', '2019/08/28 15:14:02', 'Los Santos - Santander, Colombia')
('2018/11/02', '12:35:01', 1.3, 'M_MLr', 9L, 6.597, 4.17, -73.402, 4.17, 128.0, 4.9, 0.41, 'manual', 'SGC', 'Dhernandez@proc3', 'SGC2018vmfi', '2019/08/28 15:14:03', 'Hato - Santander, Colombia')
('2018/11/02', '13:15:06', 1.4, 'M_MLr', 11L, 6.884, 1.48, -73.148, 1.48, 141.0, 1.7, 0.16, 'manual', 'SGC', 'Dhernandez@proc3', 'SGC2018vmgr', '2019/08/28 15:14:04', 'Los Santos - Santander, Colombia')
('2018/11/02', '13:52:53', 0.8, 'MLr_2', 19L, 6.987, 0.57, -74.085, 0.57, 2.0, 1.8, 0.3, 'manual', 'SGC', 'kvallejo@proc1', 'SGC2018vmhx', '2019/08/30 17:45:47', 'Yond\xc3\xb3 (Casabe) - Antioquia, Colombia')
('2018/11/02', '14:04:49', 2.3, 'MLr_3', 51L, 6.806, 1.06, -73.139, 1.06, 146.0, 1.9, 0.58, 'manual', 'SGC', 'Dhernandez@proc3', 'SGC2018vmih', '2019/08/28 15:14:08', 'Los Santos - Santander, Colombia')
('2018/11/02', '15:07:58', 1.8, 'MLr_3', 12L, 6.806, 2.9, -73.16, 2.9, 147.0, 2.7, 0.29, 'manual', 'SGC', 'Dhernandez@proc3', 'SGC2018vmkk', '2019/08/28 15:14:10', 'Los Santos - Santander, Colombia')
('2018/11/02', '15:11:48', 2.5, 'MLr_3', 56L, 6.819, 0.99, -73.149, 0.99, 148.0, 1.8, 0.56, 'manual', 'SGC', 'Dhernandez@proc3', 'SGC2018vmkn', '2019/08/28 15:14:13', 'Los Santos - Santander, Colombia')
('2018/11/02', '16:53:31', 2.0, 'MLr_3', 35L, 6.789, 0.99, -73.164, 0.99, 145.0, 1.6, 0.34, 'manual', 'SGC', 'Dhernandez@proc3', 'SGC2018vmnw', '2019/08/28 15:14:16', 'Los Santos - Santander, Colombia')
('2018/11/02', '17:05:49', 1.4, 'MLr_3', 8L, 6.796, 2.47, -73.19, 2.47, 138.0, 3.1, 0.18, 'manual', 'SGC', 'mcubillos@proc3', 'SGC2018vmoh', '2019/08/28 15:14:18', 'Los Santos - Santander, Colombia')
('2018/11/02', '18:30:40', 1.2, 'MLr_3', 9L, 6.52, 5.59, -73.7, 5.59, 112.0, 7.7, 0.45, 'manual', 'SGC', 'mcubillos@proc3', 'SGC2018vmrb', '2019/08/28 15:14:19', 'Simacota - Santander, Colombia')
('2018/11/02', '18:52:21', 1.0, 'MLr_2', 27L, 6.985, 0.71, -74.09, 0.71, 3.0, 2.2, 0.49, 'manual', 'SGC', 'kvallejo@proc1', 'SGC2018vmru', '2019/08/30 17:07:04', 'Yond\xc3\xb3 (Casabe) - Antioquia, Colombia')
('2018/11/02', '19:58:21', 1.7, 'MLr_3', 20L, 6.778, 1.77, -73.173, 1.77, 133.0, 2.9, 0.42, 'manual', 'SGC', 'mcubillos@proc3', 'SGC2018vmtz', '2019/08/28 15:14:21', 'Los Santos - Santander, Colombia')
('2018/11/02', '20:08:20', 1.6, 'MLr_2', 35L, 6.644, 1.56, -73.716, 1.56, 90.0, 3.6, 0.58, 'manual', 'SGC', 'kvallejo@proc1', 'SGC2018vmuh', '2019/08/30 16:44:56', 'El Carmen - Santander, Colombia')
('2018/11/02', '21:56:20', 2.1, 'MLr_3', 33L, 6.857, 1.2, -73.308, 1.2, 119.0, 2.2, 0.49, 'manual', 'SGC', 'mcubillos@proc3', 'SGC2018vmxw', '2019/08/28 15:14:25', 'Zapatoca - Santander, Colombia')
('2018/11/02', '22:19:35', 1.4, 'MLr_3', 9L, 6.845, 4.67, -73.221, 4.67, 138.0, 5.2, 0.42, 'manual', 'SGC', 'mcubillos@proc3', 'SGC2018vmyq', '2019/08/28 15:14:27', 'Zapatoca - Santander, Colombia')
('2018/11/02', '22:35:16', 1.6, 'MLr_3', 13L, 6.784, 2.19, -73.164, 2.19, 144.0, 3.0, 0.38, 'manual', 'SGC', 'mcubillos@proc3', 'SGC2018vmzd', '2019/08/28 15:14:28', 'Los Santos - Santander, Colombia')
